# time=2019-03-06T12:00:00Z
lat,lon,pressure,ff,dd
33.977356,27.364218,83700.0,13.3,255
33.36834,26.817686,82400.0,13.42,260
33.867439,27.034748,82600.0,14.68,258
33.891743,28.772106,81600.0,13.53,247
33.878357,28.866688,83100.0,11.51,243
33.293976,25.827141,83000.0,14.96,264
33.303078,26.129068,82900.0,14.83,264
33.187752,26.329691,82700.0,13.28,261
33.158241,26.50251,80100.0,11.88,263
33.008339,26.741514,79700.0,11.88,261
32.660473,25.760601,83100.0,13.16,266
32.613495,25.880136,83100.0,12.69,264
49.434704,25.883411,77900.0,29.08,312
33.713688,25.409452,82600.0,17.02,260
34.096729,25.921406,82600.0,16.69,265
34.060459,26.070192,82700.0,15.86,266
34.028461,26.550631,82300.0,15.43,264
34.010101,26.806606,82500.0,14.75,262
33.93998,25.913176,82700.0,17.0,263
33.950569,26.292601,82500.0,16.07,265
33.572338,25.533094,82700.0,16.72,261
32.671722,26.37248,80800.0,11.55,267
50.953457,23.591709,80000.0,19.94,312
34.078609,25.930614,82400.0,16.92,263
33.517197,26.375572,82500.0,15.75,261
50.691589,27.649738,82700.0,17.07,310
50.688015,27.707129,82700.0,16.56,312
50.752056,26.587433,81700.0,18.57,308
51.02137,23.581045,79100.0,20.21,308
51.209263,23.098322,80100.0,19.61,305
48.209972,26.980478,74600.0,24.09,318
50.92445,27.603918,82200.0,17.54,311
50.513275,26.817768,81300.0,18.57,308
48.14164,26.216982,74500.0,21.78,318
50.579899,30.389694,76800.0,23.4,287
50.93158,23.809767,81000.0,19.95,306
34.523003,29.531389,83200.0,11.27,242
36.402443,39.076412,83200.0,14.62,288
34.521133,29.519958,82300.0,12.83,245
32.565777,25.970583,82900.0,11.39,271
50.946598,23.829594,81100.0,20.66,307
50.820145,23.25421,79400.0,18.19,303
50.938015,22.829056,79800.0,18.81,302
50.692513,22.631289,79000.0,17.01,303
50.069714,26.235493,79700.0,18.53,309
34.533806,29.514076,82500.0,12.95,249
34.541901,29.531837,82200.0,14.32,250
33.574261,26.538845,82600.0,14.99,261
51.500446,26.986971,81200.0,19.4,312
36.89912,-7.17871,77200.0,35.07,255
31.160622,-10.595299,83400.0,13.24,267
51.13802,26.380249,81000.0,18.43,304
49.989155,26.305946,78900.0,18.77,310
37.306767,-9.070187,76700.0,25.35,297
35.49189,-9.792283,78400.0,26.28,288
36.479137,-7.803318,81600.0,38.14,254
35.244831,-9.873016,78100.0,27.53,295
34.574883,-8.652451,83600.0,28.68,261
34.496204,29.421194,81600.0,13.93,251
32.669029,-11.236829,80100.0,14.05,296
51.49474,26.914389,80700.0,18.87,310
51.05238,23.475796,79100.0,21.03,302
39.447521,-10.844622,82600.0,37.09,296
39.305515,-11.080808,82400.0,37.21,301
39.470234,-10.325704,82200.0,36.51,289
38.594761,-11.943431,79000.0,34.58,304
38.578293,-11.78215,79700.0,35.05,303
37.630592,-12.57851,78900.0,27.77,302
37.315639,-11.250275,84200.0,26.96,298
36.276733,-13.621616,74000.0,28.68,314
36.131386,-10.258144,79900.0,26.82,303
35.619854,-13.270761,71100.0,24.87,306
35.340485,-14.612181,73400.0,24.05,320
35.272186,-13.259015,70100.0,24.33,306
35.551739,-10.581296,77900.0,27.68,295
35.511513,-10.230366,77800.0,27.76,295
35.571716,-10.218116,77600.0,26.71,289
35.402412,-10.326283,77900.0,27.91,296
35.506733,-10.995881,76200.0,25.23,292
34.737705,-14.794603,71000.0,23.98,318
34.511272,-13.650945,71600.0,21.18,308
34.635208,-12.155629,70900.0,25.92,298
34.718102,-11.947704,73100.0,23.73,294
34.204357,-13.192882,76400.0,21.19,308
34.515018,-13.362843,71700.0,21.55,308
34.040897,-13.775826,75900.0,20.35,308
34.246498,-12.715915,76000.0,21.51,303
33.86039,-14.721904,73800.0,21.57,315
33.912888,-13.169011,77700.0,18.91,317
33.707146,-13.463166,77300.0,21.48,308
33.88232,-12.560633,75500.0,20.84,303
33.7286,-13.163693,77900.0,22.06,309
33.96191,-12.076056,74300.0,21.33,301
34.108105,-11.615601,77600.0,19.36,292
33.547024,-15.271295,80800.0,19.94,330
33.45752,-14.66019,79800.0,21.63,326
33.349667,-13.651569,77200.0,20.54,319
33.174683,-15.526557,80300.0,20.08,330
33.272495,-15.482289,80300.0,19.54,330
33.21875,-14.59337,81400.0,21.94,325
33.182041,-13.634389,77500.0,20.76,318
33.37751,-13.614221,77400.0,20.77,318
33.122517,-14.829391,81700.0,21.58,329
33.040184,-15.670195,79400.0,20.98,330
33.018253,-15.420998,80600.0,20.99,330
32.95916,-14.666983,81000.0,21.92,327
32.95451,-13.835187,79400.0,20.85,316
32.934399,-13.572007,80400.0,20.81,320
32.910564,-13.362453,79300.0,19.87,320
32.817844,-14.766185,80700.0,21.09,326
32.661926,-14.965759,77200.0,21.28,327
32.644066,-15.684954,78500.0,21.37,330
32.77536,-13.493423,79000.0,20.81,318
32.541634,-13.494897,79300.0,19.68,315
32.157719,-15.651223,80300.0,17.28,330
32.05022,-14.544486,77200.0,15.18,317
31.995161,-14.548658,79700.0,16.55,322
32.263714,-14.607191,77600.0,16.8,321
31.33983,-13.181902,82300.0,15.27,327
31.588385,-15.938348,76700.0,10.81,329
31.303072,-13.201558,81600.0,16.16,320
31.262684,-15.834235,78900.0,12.35,330
31.094231,-14.903,81500.0,17.05,317
30.88343,-15.62533,81300.0,14.98,326
31.185486,-15.724926,79200.0,12.94,325
30.776508,-15.889155,81900.0,14.82,330
30.650232,-15.22547,81000.0,14.27,333
29.868471,-15.935409,83500.0,16.8,336
29.74305,-16.052113,83900.0,17.27,337
29.509026,-16.718937,81400.0,16.41,340
29.392052,-17.206991,83600.0,15.9,348
29.115574,-17.013336,82100.0,13.86,353
29.037392,-16.999531,81700.0,13.61,359
50.665703,22.788902,78900.0,16.25,303
39.041328,-10.959161,82500.0,35.07,301
37.45546,-12.121273,78800.0,26.67,300
35.963821,-13.626974,74200.0,27.75,314
35.994545,-13.354358,73600.0,28.12,313
36.244614,-10.167897,76300.0,28.33,290
36.266792,-10.370723,81200.0,27.65,291
35.841137,-13.537763,71800.0,26.83,312
35.487053,-14.566432,74800.0,24.59,316
35.887505,-10.284966,78700.0,26.87,291
35.371681,-13.544426,71100.0,23.7,309
35.147659,-14.810398,73000.0,24.07,320
35.481663,-10.363772,78300.0,28.42,297
34.992619,-14.7601,71700.0,24.43,319
35.55312,-11.189281,71500.0,24.8,294
35.000011,-10.906988,76900.0,25.41,289
34.634106,-14.007093,73700.0,20.41,317
34.578205,-12.715568,70600.0,23.18,304
34.164242,-14.804882,71600.0,20.93,310
34.06004,-14.422521,80000.0,21.39,316
33.953999,-13.279399,76900.0,20.94,308
34.315109,-12.186075,74200.0,23.42,295
34.424946,-12.051531,75400.0,24.64,294
36.492172,39.110058,83000.0,14.49,288
33.846558,-14.030216,78900.0,20.05,313
33.840836,-13.605577,75500.0,20.77,307
33.928127,-15.385444,75800.0,19.38,326
33.784286,-14.903941,74400.0,19.65,322
33.679115,-14.708447,77700.0,21.4,322
33.621353,-14.598584,78100.0,21.08,319
33.482765,-13.60453,77100.0,19.49,317
33.741226,-12.456318,75600.0,19.52,301
33.919418,-11.62433,80600.0,19.19,289
33.244713,-15.332837,80800.0,20.17,331
33.279255,-14.659225,81400.0,21.97,326
33.122406,-13.430091,77400.0,19.83,318
33.608429,-12.650836,78500.0,21.33,303
33.043449,-15.152656,80700.0,20.42,330
33.194164,-13.081523,76800.0,18.59,318
32.956959,-14.379016,81300.0,22.45,325
32.981491,-13.494265,81400.0,20.14,319
32.939106,-15.25008,82200.0,21.61,332
32.878857,-15.011428,81700.0,20.9,329
33.199917,-12.4265,77900.0,16.48,290
32.84304,-15.514762,78400.0,21.59,329
32.552643,-14.610647,80700.0,19.06,325
32.662025,-14.099048,82800.0,19.34,317
32.284431,-15.740311,80000.0,19.87,329
32.385883,-14.767816,78500.0,18.52,328
32.408108,-14.4841,76100.0,15.69,319
32.700253,-13.602467,77200.0,21.53,306
32.449802,-13.508273,77100.0,20.65,306
31.964937,-14.364191,77400.0,15.89,318
31.429874,-15.77707,79100.0,13.64,324
31.436136,-15.402957,80200.0,16.31,318
32.873856,25.292534,83200.0,13.5,266
31.205683,-13.285452,81800.0,15.18,321
31.154757,-15.754812,80000.0,12.7,328
30.843222,-15.283327,80000.0,13.42,325
30.819094,-15.050192,79900.0,13.8,321
30.842142,-14.990035,80800.0,14.3,321
31.020411,-13.603981,80700.0,13.54,319
30.793024,-16.437172,83300.0,14.82,333
30.75584,-16.276148,82700.0,15.51,330
30.795919,-15.705799,81000.0,13.96,329
30.631601,-16.592348,83600.0,15.94,334
30.524429,-15.337506,82200.0,16.78,333
30.555677,-15.09941,81900.0,15.72,334
